Address,City,State,Zip Code,,Year,Owner Info,Land/Imp/Tot,Exemption,Assessed
201 UNION LN,BRIELLE,NJ,08730,Brielle,2015,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$615,000/$530,600/$1,145,600",$0,"$1,145,600"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2014,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2013,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2012,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2011,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2010,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2009,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2008,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2007,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$600,000/$257,800/$857,800",$0,"$857,800"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2006,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ 08742","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2005,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2004,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2003,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2002,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2001,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,2000,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1999,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1998,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1997,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1996,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$120,000/$100,000/$220,000",$0,"$220,000"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1995,"BRIELLE YACHT CLUB, 1671 BEAVER DAM ROAD 100, POINT PLEASANT, NJ087425198","$406,500/$161,200/$567,700",$0,"$567,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1994,"Y TWO, INC., 14 RIDGEDALE AVE. SU 100, CEDAR KNOLLS, N.J.07927","$406,500/$161,200/$567,700",$0,"$567,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1993,"Y TWO INC-SAND BAR/WHITE HOUSE, 1608 RT.#88 SUITE 109D, BRICK,N.J.08730","$406,500/$161,200/$567,700",$0,"$567,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1992,"Y TWO INC-SAND BAR/WHITE HOUSE, 1608 RT.#88 SUITE 109D, BRICK,N.J.08730","$406,500/$161,200/$567,700",$0,"$567,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1991,"Y TWO INC-SAND BAR/WHITE HOUSE, 1608 RT.#88 SUITE 109D, BRICK,N.J.08730","$406,500/$161,200/$567,700",$0,"$567,700"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1990,"Y TWO INC, 1 OCEAN AVE, BRIELLE, N J08730","$406,500/$302,100/$708,600",$0,"$708,600"
201 UNION LN,BRIELLE,NJ,08730,Brielle,1989,"Y TWO INC, 1 OCEAN AVE, BRIELLE, N J08730","$420,400/$214,000/$634,400",$0,"$634,400"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2025,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$2,327,500/$349,700/$2,677,200",$0,"$2,677,200"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2024,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$2,028,300/$344,300/$2,372,600",$0,"$2,372,600"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2023,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,995,000/$341,700/$2,336,700",$0,"$2,336,700"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2022,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,995,000/$328,200/$2,323,200",$0,"$2,323,200"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2021,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,959,200/$262,600/$2,221,800",$0,"$2,221,800"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2020,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,959,200/$263,100/$2,222,300",$0,"$2,222,300"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2019,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,959,200/$262,600/$2,221,800",$0,"$2,221,800"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2018,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,863,200/$261,700/$2,124,900",$0,"$2,124,900"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2017,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,767,200/$259,000/$2,026,200",$0,"$2,026,200"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2016,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,767,200/$250,800/$2,018,000",$0,"$2,018,000"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2015,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,767,200/$242,600/$2,009,800",$0,"$2,009,800"
602 GREEN AVE,BRIELLE,NJ,08730,Brielle,2014,"HOFFMAN'S MARINA AT BRIELLE, LLC, 20 EAST WILLOW ST, MILLBURN, NJ 07041","$1,264,000/$1,106,700/$2,370,700",$0,"$2,370,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2025,"HOWELL FORD REALTY LLC, 210 WESTFIELD AVENUE, CLARK, NJ 07066","$357,200/$409,200/$766,400",$0,"$766,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2024,"HOWELL FORD REALTY LLC, 210 WESTFIELD AVENUE, CLARK, NJ 07066","$357,200/$376,200/$733,400",$0,"$733,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2023,"HOWELL FORD REALTY LLC, 210 WESTFIELD AVENUE, CLARK, NJ 07066","$357,200/$344,600/$701,800",$0,"$701,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2022,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$327,500/$684,700",$0,"$684,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2021,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$310,800/$668,000",$0,"$668,000"
6870 RT 9,HOWELL,NJ,07731,Howell,2020,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$291,300/$648,500",$0,"$648,500"
6870 RT 9,HOWELL,NJ,07731,Howell,2019,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$165,200/$522,400",$0,"$522,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2018,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$260,100/$617,300",$0,"$617,300"
6870 RT 9,HOWELL,NJ,07731,Howell,2017,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$251,800/$609,000",$0,"$609,000"
6870 RT 9,HOWELL,NJ,07731,Howell,2016,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$251,800/$609,000",$0,"$609,000"
6870 RT 9,HOWELL,NJ,07731,Howell,2015,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$242,800/$600,000",$0,"$600,000"
6870 RT 9,HOWELL,NJ,07731,Howell,2014,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$165,200/$522,400",$0,"$522,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2013,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$165,200/$522,400",$0,"$522,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2012,"HOWELL FORD REALTY LLC, 2456 ST GEORGES AVENUE, RAHWAY, NJ 07065","$357,200/$165,200/$522,400",$0,"$522,400"
6870 RT 9,HOWELL,NJ,07731,Howell,2011,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$446,500/$165,200/$611,700",$0,"$611,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2010,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$446,500/$165,200/$611,700",$0,"$611,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2009,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$446,500/$165,200/$611,700",$0,"$611,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2008,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$446,500/$165,200/$611,700",$0,"$611,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2007,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$446,500/$165,200/$611,700",$0,"$611,700"
6870 RT 9,HOWELL,NJ,07731,Howell,2006,"SGS & DHIND, INC, 6870 ROUTE 9 SOUTH, HOWELL, NJ 07731","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2005,"VERMA, SANJEEV, 7 BUTTONWOOD CT, MONROE TWP, NJ07883","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2004,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2003,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2002,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2001,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,2000,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,1999,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT, NJ07763","$168,800/$220,000/$388,800",$0,"$388,800"
6870 RT 9,HOWELL,NJ,07731,Howell,1998,"NORDIC STAR ENTERPRISES INC., P.O. BOX 70, TENNENT, NJ07763","$168,800/$0/$168,800",$0,"$168,800"
6870 RT 9,HOWELL,NJ,07731,Howell,1997,"NORDIC STAR ENTERPRISES INC., 29 GEORGIAN BAY DRIVE, MORGANVILLE NJ07751","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1996,"AMOCO CORP-PROP TAX DPT-MAIL CODE, 2408 - 200 E. RANDOLPH DR, CHICAGO, ILL606017125","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1995,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1994,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1993,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1992,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1991,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$168,800/$16,800/$185,600",$0,"$185,600"
6870 RT 9,HOWELL,NJ,07731,Howell,1990,"AMOCO OIL CO, PO BOX 3428, OAK BROOK, ILL60522","$55,400/$26,500/$81,900",$0,"$81,900"
6870 RT 9,HOWELL,NJ,07731,Howell,1989,"AMOCO OIL CO, 200 E RANDOLPH DRIVE, CHICAGO, ILL60601","$55,400/$26,500/$81,900",$0,"$81,900"
2630 RT 70,WALL,NJ,08736,Wall,2025,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2024,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2023,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2022,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2021,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2020,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2019,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2018,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2017,"HESS RETAIL STORES LLC%PROP TAX DEP, 539 SOUTH MAIN STREET, FINDLAY, OH 45840","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2016,"HESS RETAIL STORES LLC, 1 HESS PLAZA, WOODBRIDGE, NJ 07095","$380,000/$337,300/$717,300",$0,"$717,300"
2630 RT 70,WALL,NJ,08736,Wall,2015,"HESS RETAIL STORES LLC, 1 HESS PLAZA, WOODBRIDGE, NJ 07095","$246,900/$250,400/$497,300",$0,"$497,300"
2630 RT 70,WALL,NJ,08736,Wall,2014,"HESS REALTY CORPORATION, P.O. BOX 696419, SAN ANTONIO, TX 78269","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2013,"HESS REALTY CORPORATION, P.O. BOX 696419, SAN ANTONIO, TX 78269","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2012,"HESS REALTY CORPORATION, P.O. BOX 696419, SAN ANTONIO, TX 78269","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2011,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2010,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2009,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$250,900/$250,400/$501,300",$0,"$501,300"
2630 RT 70,WALL,NJ,08736,Wall,2008,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$287,500/$388,100/$675,600",$0,"$675,600"
2630 RT 70,WALL,NJ,08736,Wall,2007,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$287,500/$388,100/$675,600",$0,"$675,600"
2630 RT 70,WALL,NJ,08736,Wall,2006,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J 07095","$287,500/$388,100/$675,600",$0,"$675,600"
2630 RT 70,WALL,NJ,08736,Wall,2005,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$287,500/$388,100/$675,600",$0,"$675,600"
2630 RT 70,WALL,NJ,08736,Wall,2004,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$287,500/$115,400/$402,900",$0,"$402,900"
2630 RT 70,WALL,NJ,08736,Wall,2003,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$287,500/$115,400/$402,900",$0,"$402,900"
2630 RT 70,WALL,NJ,08736,Wall,2002,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$287,500/$115,400/$402,900",$0,"$402,900"
2630 RT 70,WALL,NJ,08736,Wall,2001,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,2000,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1999,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1998,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1997,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1996,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1995,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1994,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1993,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1992,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1991,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1990,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
2630 RT 70,WALL,NJ,08736,Wall,1989,"HESS REALTY CORPORATION, 1 HESS PLAZA, WOODBRIDGE, N J07095","$143,500/$101,800/$245,300",$0,"$245,300"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2025,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2024,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2023,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2022,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2021,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2020,"PETRO REALTY, LLC, RT 34, SUITE 3A, MATAWAN, NJ 07747","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2019,"PETRO REALTY, LLC, 65 UNION AVE, MANASQUAN, NJ 08736","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2018,"PETRO REALTY, LLC, 65 UNION AVE, MANASQUAN, NJ 08736","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2017,"AKGUN,CAROLE JABLONSKY, 300 PROSPECT DR, BRICK, NJ 08724","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2016,"AKGUN,CAROLE JABLONSKY, 300 PROSPECT DR, BRICK, NJ 08724","$628,600/$178,800/$807,400",$0,"$807,400"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2015,"AKGUN,CAROLE JABLONSKY, 300 PROSPECT DR, BRICK, NJ 08724","$564,300/$144,200/$708,500",$0,"$708,500"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2014,"CHAT, LLC C/O JABLONSKY, CAROLE, 300 PROSPECT DR, BRICK, NJ 08724","$594,000/$144,200/$738,200",$0,"$738,200"
65 UNION AVE,MANASQUAN,NJ,08736,Manasquan,2013,"CHAT, LLC C/O JABLONSKY, CAROLE, 300 PROSPECT DR, BRICK, NJ 08724","$594,000/$144,200/$738,200",$0,"$738,200"
